nationality	1970	1980	1990	2000	2010
afganistanilaiset					1.0
alankomaalaiset					1.0
australialaiset				1.0	
inkeriläiset		1.0			
intialaiset		1.0		1.0	
iranilaiset			1.0		1.0
israelilaiset					1.0
kanadalaiset	1.0		2.0	1.0	1.0
karjalaiset	2.0	1.0	1.0		
kiinalaiset				1.0	1.0
kosovolaiset					1.0
neuvostoliittolaiset		1.0			
norjalaiset					1.0
ranskalaiset					1.0
ruotsalaiset	3.0	1.0		4.0	3.0
ruotsinsuomalaiset	7.0	4.0	2.0	13.0	18.0
saamelaiset		1.0		2.0	2.0
saksalaiset		1.0		1.0	
somalit					2.0
suomalaiset	694.0	820.0	989.0	1658.0	3040.0
tamilit			1.0		
tanskalaiset	1.0				
unkarilaiset			1.0		1.0
venäläiset	2.0				2.0
vienankarjalaiset	5.0	4.0		1.0	1.0
yhdysvaltalaiset	1.0		1.0		2.0
